Name,Site Name,Speciality 1,Speciality 2,Day Reg Planned Hrs,Day Reg Actual Hrs,Day Unreg Planned Hrs,Day Unreg Actual Hrs,Night Reg Planned Hrs,Night Reg Actual Hrs,Night Unreg Planned Hrs,Night Unreg Actual Hrs,Patient Count At Midnight,Missing Census Count,Division,Month,,,
N - Emergency Department (Nursing),Medway NHS,-,,"6,711.00","5,941.25","3,818.50","2,912.50","5,032.00","4,793.50","2,843.50","2,473.50",0,0,Unplanned,01/10/2020,,,
N - Emergency Department (Paediatrics),Medway NHS,-,,"1,507.50","1,393.50",348.5,245,"1,061.50",979,333,310,0,0,Unplanned,01/10/2020,,,
N - Endoscopy,Medway NHS,-,,"3,443.50","3,200.75",756,448,0,0,0,0,0,0,Unplanned,01/10/2020,,,
N - Fit Tester Assessor Centre,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
N - Harvey Ward,Medway NHS,-,,"2,027.98","1,309.50","1,669.00","1,301.25","1,395.00","1,147.75","1,046.25","1,170.50",679,0,Unplanned,01/10/2020,,,
N - Imaging Clinical Support,Medway NHS,-,,166.5,0,"2,655.25","2,284.00",0,0,341,341,0,0,Unplanned,01/10/2020,,,
N - Interventional Radiology Nursing,Medway NHS,-,,"1,323.00","1,092.50",0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
N - Jade Ward,Medway NHS,-,,"1,579.50","1,320.00","1,177.50","1,233.50","1,046.25","1,057.50","1,012.50","1,316.25",696,0,Unplanned,01/10/2020,,,
N - Keats Ward,Medway NHS,-,,"1,542.93","1,374.68","1,595.00","1,460.50","1,023.00","1,034.00","1,364.00","1,584.00",747,2,Unplanned,01/10/2020,,,
N - Lister Assessment Unit,Medway NHS,-,,"2,445.73","1,876.75","1,580.98","1,390.73","1,395.00","1,285.75","1,046.25","1,041.25",748,0,Unplanned,01/10/2020,,,
N - McCulloch Ward,Medway NHS,-,,"2,085.00","1,869.25","1,477.50","1,249.73","1,844.75","1,608.25","1,128.00","1,149.50",604,0,Unplanned,01/10/2020,,,
N - Milton Ward,Medway NHS,-,,"2,011.00","1,387.90","1,596.00","1,412.50","1,395.00","1,181.62","1,395.00","1,357.25",768,0,Unplanned,01/10/2020,,,
N - Nelson Ward,Medway NHS,-,,"1,557.00","1,218.50","1,215.00","1,064.47","1,034.00","1,012.00",671,660,520,1,Unplanned,01/10/2020,,,
N - Nuclear Medicine Nursing,Medway NHS,-,,495,363.5,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
N - Sapphire Ward,Medway NHS,-,,"1,971.00","1,513.50","1,431.00","1,423.75","1,364.00","1,144.00","1,023.00","1,258.00",851,0,Unplanned,01/10/2020,,,
N - SDEC,Medway NHS,-,,"2,319.50","2,051.25","1,353.50","1,016.00",0,33,0,0,0,0,Unplanned,01/10/2020,,,
N - SMART,Medway NHS,-,,"2,441.50","1,765.58",294.5,197.5,0,0,0,0,0,0,Unplanned,01/10/2020,,,
N - Tennyson Ward,Medway NHS,-,,"1,991.43","1,436.12","1,594.22","1,566.55","1,364.00","1,101.00","1,364.00","1,739.00",783,0,Unplanned,01/10/2020,,,
N - Will Adams Ward,Medway NHS,-,,"1,549.50","1,341.50","1,428.50","1,261.42","1,023.00",968.5,"1,254.00","1,397.00",740,0,Unplanned,01/10/2020,,,
Neurology Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Neurology CNS,Medway NHS,-,,660,401,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Nuclear Medicine Sci and Tech,Medway NHS,-,,"2,411.42","2,067.25",0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Osteoporosis Unit,Medway NHS,-,,584,435,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Pathology MGMT,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Pathology Reception,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Pharmacy,Medway NHS,-,,"15,113.83","12,588.83",0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Phlebotomy,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Rapid Testing Team,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Respiratory & Sleep Dept,Medway NHS,-,,"1,350.50","1,094.83",0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Respiratory Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Respiratory Team,Medway NHS,-,,887.5,870.6,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Rheumatology Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Rheumatology CNS,Medway NHS,-,,495,394.5,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Senior Manager On Call,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Standards and Practice,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Stroke Nurses,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
The Typing Pool,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Therapies,Medway NHS,-,,"11,636.15","9,590.85",0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
Trust Ward Clerks,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
VTE Specialist Nurses,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/10/2020,,,
ACCP,Medway NHS,-,,"1,260.00",0,0,0,345,0,0,0,0,0,Planned,01/11/2020,,,
Anaesthetics & Pain Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Audiology Dept,Medway NHS,-,,"1,767.00",879.75,798,704.75,0,0,0,0,0,0,Planned,01/11/2020,,,
Cancer Services Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Cancer Services CNS,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Children's Community Learning Disabilities Team,Medway NHS,-,,"1,949.50",76,157.5,136.5,0,0,0,0,0,0,Planned,01/11/2020,,,
Co-ordinated Care Specialist Nurses,Medway NHS,-,,"2,707.50","1,530.25",75,20,0,0,0,0,0,0,Planned,01/11/2020,,,
Colposcopy,Medway NHS,-,,670,563.5,514,392,0,0,0,0,0,0,Planned,01/11/2020,,,
Community Paediatric Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
ENT Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Galton Day Unit Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
General Surgery Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Gynaecology Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Looked After Children,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
M - Anaesthetics Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
M - Breast Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
M - Colorectal Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
M - Critical Care Medics,Medway NHS,-,,637.5,325,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
M - ENT Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
M - General Surgery On Call Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
M - NICU Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
M - Obs & Gynae Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
M - Orthodontics Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
M - Paediatric Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
M - T&O Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
M - Urology Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
M - Vascular Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
MacMillan Social Work,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Maternity Administration,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Maternity Managers On Call,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Maternity Managers Weekends & Lates,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Maxillofacial,Medway NHS,-,,672,524,"1,578.50","1,455.50",0,0,0,0,0,0,Planned,01/11/2020,,,
Medical Records,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
N - Acute Response Team (CCO),Medway NHS,-,,715.3,641.05,0,0,915,803.25,0,0,0,0,Planned,01/11/2020,,,
N - Arethusa SAU,Medway NHS,-,,"1,906.50","1,490.50","1,149.00","1,057.50","1,650.00","1,315.50",660,721,555,12,Planned,01/11/2020,,,
N - Bronte,Medway NHS,-,,"1,200.00",732,920.5,490,947,687,747,561,292,3,Planned,01/11/2020,,,
N - Childrens Diabetes,Medway NHS,-,,"1,126.50",706,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
N - Coast2,Medway NHS,-,,"1,245.00",907.75,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
N - Community Midwives - All Saints,Medway NHS,-,,"1,326.00","1,127.50",178.5,110.5,0,0,0,0,0,0,Planned,01/11/2020,,,
N - Community Midwives - Castle,Medway NHS,-,,"1,248.50","1,038.92",105,67.5,0,0,0,0,0,0,Planned,01/11/2020,,,
N - Community Midwives - Riverside,Medway NHS,-,,"1,419.50","1,346.75",493,120,0,0,0,0,0,0,Planned,01/11/2020,,,
N - Community Midwives - Swale,Medway NHS,-,,"1,462.00","1,376.50",157.5,112,0,0,0,0,0,0,Planned,01/11/2020,,,
N - Continuing Care Paediatrics,Medway NHS,-,,"2,390.00",202.75,136.5,474,255,304.5,255,"1,391.00",0,0,Planned,01/11/2020,,,
N - Critical Care,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
N - Delivery Suite,Medway NHS,-,,"2,824.42","2,797.83",711.25,696.75,"3,192.75","3,093.00",710,689.58,0,30,Planned,01/11/2020,,,
N - ENT Treatment Room,Medway NHS,-,,96,111,292,334.5,0,0,0,0,0,0,Planned,01/11/2020,,,
N - Fetal Midwives,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
N - Galton Day Unit,Medway NHS,-,,"1,619.00","1,404.42",836,725.33,0,0,0,0,0,0,Planned,01/11/2020,,,
N - General HDU,Medway NHS,-,,"1,975.25","1,601.25",448.5,165,"1,983.95","1,674.50",123.75,11.25,242,0,Planned,01/11/2020,,,
N - ICU,Medway NHS,-,,"4,337.75","3,536.42",11.75,44.5,"3,879.50","3,278.08",0,78.75,310,3,Planned,01/11/2020,,,
N - Kent Ward,Medway NHS,-,,"1,422.50","1,362.92",711.33,664.83,"1,065.00","1,020.92",710,661.58,0,0,Planned,01/11/2020,,,
N - Kingfisher Ward,Medway NHS,Gynaecology,,"1,757.00","1,331.50","1,026.00",899,"1,233.50",930.5,850,877,571,1,Planned,01/11/2020,,,
N - Lawrence Ward,Medway NHS,-,,"1,086.00",916.67,"1,118.97","1,021.48",993,822.25,"1,012.50",905.25,338,3,Planned,01/11/2020,,,
N - Main Theatres,Medway NHS,-,,"8,256.50","7,746.75","3,424.00","2,146.25","2,522.50","2,580.00",754.5,685.5,0,0,Planned,01/11/2020,,,
N - Maternity Care Unit and Antenatal Clinic,Medway NHS,-,,700,706.17,732,710.25,0,0,94.67,0,0,0,Planned,01/11/2020,,,
N - Medical HDU,Medway NHS,-,,"1,798.75",56.75,0,0,"1,380.00",114.5,0,0,8,57,Planned,01/11/2020,,,
N - NICU Nursing,Medway NHS,-,,"3,884.50","3,832.50",0,0,"4,151.50","3,812.33",0,0,615,0,Planned,01/11/2020,,,
N - NIPE,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
N - Outpatients,Medway NHS,-,,"2,732.00","1,945.58","6,503.73","4,526.82",0,0,0,0,0,0,Planned,01/11/2020,,,
N - Paediatric Magpie Play,Medway NHS,-,,0,0,382.5,229.5,0,0,0,0,0,0,Planned,01/11/2020,,,
N - Paediatrics Unit,Medway NHS,-,,"2,759.50","2,554.25",690.5,868,"2,070.00","1,767.00",345,701.5,248,0,Planned,01/11/2020,,,
N - Pearl Ward,Medway NHS,-,,"1,064.08","1,005.33",710,685,"1,065.00","1,057.17",355,318.75,0,0,Planned,01/11/2020,,,
N - Pembroke Ward,Medway NHS,-,,"1,911.00","1,399.00","1,944.97","1,362.43","1,650.00","1,200.00","1,320.00","1,210.50",638,3,Planned,01/11/2020,,,
N - Phoenix Ward,Medway NHS,-,,"1,947.75","1,390.42","1,448.00","1,062.00","1,320.00","1,108.25","1,221.00","1,101.00",534,14,Planned,01/11/2020,,,
N - Recovery Theatre,Medway NHS,-,,"2,076.75","2,327.17",231,183.5,"1,016.00","1,040.00",0,0,0,0,Planned,01/11/2020,,,
N - SDCC,Medway NHS,-,,"2,734.48","1,700.58","1,242.75",862.25,957,884.75,374,417.75,325,19,Planned,01/11/2020,,,
N - Sunderland Theatre,Medway NHS,-,,"4,161.50","3,413.75",832.5,611,0,0,0,0,0,0,Planned,01/11/2020,,,
N - Team Connect,Medway NHS,-,,"1,071.00",592,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
N - The Birth Place,Medway NHS,-,,"1,065.00",938,355,343.17,"1,065.00",915.75,355,272.17,0,30,Planned,01/11/2020,,,
N - Victory Ward,Medway NHS,-,,"2,087.98",836.73,"1,194.00",790.5,"1,650.00",841.73,660,638,323,9,Planned,01/11/2020,,,
NICU Administration,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Not in Use: PSC Team 4,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Obstetric Theatre,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Orthodontics Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Orthopaedics Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Orthotics,Medway NHS,-,,157.5,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Paediatrics Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Paediatrics Ward Clerks,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Planned Care Senior Nurse & Bleep,Medway NHS,-,,157.5,10,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Plaster Room,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Pre Assessment,Medway NHS,-,,"1,304.50",612,728.5,365.5,0,0,0,0,0,0,Planned,01/11/2020,,,
PSC Outpatient Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
PSC Team 1,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
PSC Team 3,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Resus Training Nurses,Medway NHS,-,,630,451,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
School Nursing,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Special Needs Nurseries,Medway NHS,-,,554.5,442,937.5,277.5,0,0,0,0,0,0,Planned,01/11/2020,,,
Specialist Midwives,Medway NHS,-,,"1,575.00","1,522.75",0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Surgery MGMT Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Theatre Receptionists,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Theatres Support Staff,Medway NHS,-,,0,85.5,"2,392.00",848,0,0,225,142.5,0,0,Planned,01/11/2020,,,
Urology Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Vascular Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Womens & Childrens Administration Team,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/11/2020,,,
Acute Medicine Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Biochemistry,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Breast Unit,Medway NHS,-,,0,0,157.5,149.5,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Cardiac Nurse Specialists,Medway NHS,-,,"1,132.50",721.92,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Cardiology Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Cardiorespiratory Staff,Medway NHS,-,,"2,283.00","2,228.83",0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
CT Suite,Medway NHS,-,,"1,891.75","1,692.97",0,0,345,355,0,0,0,0,Unplanned,01/11/2020,,,
Dermatology,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Dermatology Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Diabetes Care Nurses,Medway NHS,-,,630,431.75,315,136,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Dietetics,Medway NHS,-,,"1,702.50","1,378.00",0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
ED Admin Ops,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Elderly Care Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Emergency Department (Admin Staff),Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Endoscopy Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Frailty Nurses,Medway NHS,-,,895.5,497.17,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Gastro Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Gastro CNS,Medway NHS,-,,472.5,322,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
General Imaging,Medway NHS,-,,"6,629.00","5,977.58",157.5,157.75,"1,078.50","1,035.50",0,0,0,0,Unplanned,01/11/2020,,,
Haematology,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Haematology Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Hospital at Home,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Imaging Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Imaging Mgmt and Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Imaging PACS,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Imaging Ultrasound,Medway NHS,-,,"1,818.00","1,255.00",0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
M - Acute Physicians Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
M - CHED Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
M - ED Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
M - Gen Med Consultants,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
M - Gen Med Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
M - Haematology Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
M - Imaging Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
M - Pathology Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Medical Infusion Suite,Medway NHS,-,,836,543,390,211.25,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Medicine Management & Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Medicine Matrons and Senior Bleep,Medway NHS,-,,"1,306.00",530.08,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Microbiology,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Mortuary,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
MRI Team,Medway NHS,-,,"1,871.50","1,947.00",0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
N - ADL,Medway NHS,-,,"1,163.50",384.67,"1,155.00",731.75,0,23,0,0,0,0,Unplanned,01/11/2020,,,
N - Bronte,Medway NHS,-,,"1,200.00",732,920.5,490,947,687,747,561,292,3,Unplanned,01/11/2020,,,
N - Byron Ward,Medway NHS,-,,"1,511.00","1,209.08","1,459.75","1,167.25","1,012.50","1,101.50","1,011.50",970.5,724,0,Unplanned,01/11/2020,,,
N - Cardiac Catheter Suite,Medway NHS,-,,"1,111.50",966,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
N - CCU,Medway NHS,-,,740,588,214.5,233,701.5,597,0,79.5,93,0,Unplanned,01/11/2020,,,
N - CDU,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
N - Clinical Site Team,Medway NHS,-,,"1,764.50",791.5,644,0,"1,840.00",735,575,174.5,0,0,Unplanned,01/11/2020,,,
N - Dickens Ward,Medway NHS,-,,0,0,0,0,0,0,0,0,0,60,Unplanned,01/11/2020,,,
N - Discharge Team,Medway NHS,-,,676,736.17,432.5,381.58,0,0,0,0,0,0,Unplanned,01/11/2020,,,
N - Emerald AAU,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
N - Emerald Ward,Medway NHS,-,,"1,571.50",968.5,"1,546.00","1,209.50",990,784,990,"1,059.50",417,1,Unplanned,01/11/2020,,,
N - Emergency Department (ENP),Medway NHS,-,,"1,666.50","1,248.42",0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
N - Emergency Department (Nursing),Medway NHS,-,,"7,112.50","5,241.25","3,744.00","2,610.00","5,663.50","4,481.25","2,759.00","2,184.83",0,0,Unplanned,01/11/2020,,,
N - Emergency Department (Paediatrics),Medway NHS,-,,"1,464.00","1,364.00",345,333.5,"1,026.00",981,356.5,300.5,0,0,Unplanned,01/11/2020,,,
N - Endoscopy,Medway NHS,-,,"3,343.50","2,628.08",674.5,549.5,0,0,0,0,0,0,Unplanned,01/11/2020,,,
N - Fit Tester Assessor Centre,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
N - Harvey Ward,Medway NHS,-,,"1,961.98","1,246.47","1,594.50","1,199.50","1,350.00",925.5,"1,012.50",990,687,0,Unplanned,01/11/2020,,,
N - Imaging Clinical Support,Medway NHS,-,,157.25,0,"2,511.50","2,141.50",0,0,330,319,0,0,Unplanned,01/11/2020,,,
N - Interventional Radiology Nursing,Medway NHS,-,,"1,342.75","1,201.58",0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
N - Jade Ward,Medway NHS,-,,"1,578.00","1,022.50","1,194.83",972.83,"1,012.50",821.25,"1,012.50","1,012.50",606,0,Unplanned,01/11/2020,,,
N - Keats Ward,Medway NHS,-,,"1,566.50","1,089.58","1,627.73","1,221.98",990,849.5,"1,320.00","1,237.00",641,1,Unplanned,01/11/2020,,,
N - Lister Assessment Unit,Medway NHS,-,,"2,741.50","1,712.33","1,574.50","1,207.25","1,608.75","1,253.75","1,001.25",965.5,728,1,Unplanned,01/11/2020,,,
N - McCulloch Ward,Medway NHS,-,,"3,148.00","1,952.75","1,994.00","1,158.50","2,797.25","1,567.25","1,410.00",982,512,0,Unplanned,01/11/2020,,,
N - Milton Ward,Medway NHS,-,,"2,004.00","1,172.50","1,574.00","1,175.98","1,350.00",870.5,"1,338.75","1,144.25",685,0,Unplanned,01/11/2020,,,
N - Nelson Ward,Medway NHS,-,,"1,529.98",963.73,"1,204.48",962.45,990,840,671,750,325,7,Unplanned,01/11/2020,,,
N - Nuclear Medicine Nursing,Medway NHS,-,,468,306.75,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
N - Sapphire Ward,Medway NHS,-,,"2,260.50","1,371.50","1,396.48","1,257.17","1,562.00","1,040.75",990,"1,033.00",686,4,Unplanned,01/11/2020,,,
N - SDEC,Medway NHS,-,,"2,267.50","1,812.50","1,344.50",781.5,0,33,0,0,0,0,Unplanned,01/11/2020,,,
N - SMART,Medway NHS,-,,"2,358.00","1,880.50",285,210,0,0,0,0,0,0,Unplanned,01/11/2020,,,
N - Tennyson Ward,Medway NHS,-,,"1,990.67","1,215.33","1,526.98","1,405.48","1,320.00",888.5,"1,309.00","1,365.00",753,0,Unplanned,01/11/2020,,,
N - Will Adams Ward,Medway NHS,-,,"1,541.00","1,136.75","1,542.00","1,238.98",982.5,901.5,"1,320.00","1,195.00",669,0,Unplanned,01/11/2020,,,
Neurology Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Neurology CNS,Medway NHS,-,,630,253.33,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Nuclear Medicine Sci and Tech,Medway NHS,-,,"2,277.00","1,954.50",0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Osteoporosis Unit,Medway NHS,-,,552,384,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Pathology MGMT,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Pathology Reception,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Pharmacy,Medway NHS,-,,"14,469.25","11,063.92",0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Phlebotomy,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Rapid Testing Team,Medway NHS,-,,725,51.5,0,0,726,0,0,0,0,0,Unplanned,01/11/2020,,,
Respiratory & Sleep Dept,Medway NHS,-,,"1,245.00","1,168.92",0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Respiratory Admin Staff,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
Respiratory Team,Medway NHS,-,,892.5,741.75,0,0,0,0,0,0,0,0,Unplanned,01/11/2020,,,
